
Kundenname,Prozesse,"Hotness Of Client",Postcode,Country,"No.of Freelancers","7 Touch Rule",Technology,"Detailed Technology","Type of Client","Added By","Last Contact",Telephone,"Size of IT Departments"
BMW,"Telefon Interview",9,"	226025",Bahamas,16,"Xing,E-Mail,Phone,LinkedIn,ArticleSent","SAP,PHP","ASP.Net,BizTalk,C #,knockout,MVC,Oracle,autosar,C,Embedded,Matlab,Cobol,Hibernate,J2EE,MySQL,Oracle,NSI,Oracle,SAS,BI,Embedded Tester,BI,MS Analysis Services,MS BI,SCRUM Master",,SEBASTIAN,06-10-2018,"	08960850272",89
Daimler,,7,"	0072654",Germany,9,,,,,SEBASTIAN,03-10-2018,"	0017663444962",
"SupplyOn AG",,4,"	72654",Germany,6,,,"HTML,Helpdesk",,SEBASTIAN,04-10-2018,"	17663444962",
Protinus,"Telefon Interview und Vor-Ort Gespräch",6,"	80331",Germany,1,,"Microsoft .Net",,,SEBASTIAN,,"	89255443311",
dsg,,1,"	80331",Germany,6,E-Mail,"Microsoft .Net,SAP","BizTalk,HTML,firmware,FPGA,Helpdesk,Windows",,SEBASTIAN,,"	41429849854958",
"Idzan Industries",,3,"	71273",Germany,12,,"Java,SAP",,,SEBASTIAN,11-04-2018,"	17663444962",
"Binder GmbH",,1,"	72654",Germany,,,,,,Marco,,"	017663444962",
"Daimler 2",,,"	70355",Germany,,,,,,Mario,,"	017663444962",
"Daimler 3","Vor-Ort Gespräch",4,"	70355",Germany,6,,SAP,,,Mario,,"	017663444962",
"Daimler 4","Telefon Interview und Vor-Ort Gespräch",5,"	45356",Germany,8,,SAP,,,Mario,,"	123123123123",
testclient,"Telefon Interview",2,"	34354",Germany,1,,PHP,,Customer,SEBASTIAN,04-10-2018,"	9089789089",4
"Daimler 28","Vor-Ort Gespräch",,"	23232",Germany,6,,,,"Previous Customer",Marco,,"	017663444962",
"Daimler 23","Vor-Ort Gespräch",3,"	80335",Germany,5,,Java,,,SEBASTIAN,,"	0324234243",
"Daimler 99",,,"	50335",Germany,,,,,,Marco,,"	123123123",
"Robert Bosch GmbH",,,"	70335",Germany,,,"Microsoft .Net,Java",,,SEBASTIAN,,"	071140040990",
